EnumType,숫자,사용 상황,사용 이름,비고,적용 여부
Harvest_Collect,302,수확 보상 재료가 플레이어 재고에 귀속될 때,SFX_Pop_Mouth_Med_1,
Harvest_Grind,303,커터가 수확 대상과 접촉해 절단 중일 때 사용하는 루프음,SFX_Lawn...(보류),
Harvest_CropHarvested,304,정적 작물의 HP가 0이 되어 수확 완료됐을 때,SFX_Match_Pop_1,
Harvest_TractorEngine,305,수확 세션에서 트랙터가 실제 주행 중일 때 사용하는 루프음,LittleCarEngine02_loop,
Harvest_ChickenVoice,306,닭이 평상 또는 도주 상태에서 울 때,SFX_ChickenRunning02 (보류),
Harvest_ChickenHit,307,닭이 커터에 피격됐을 때,SFX_ChickenAttacked01 (보류),
Harvest_ChickenDie,308,닭의 HP가 0이 되어 사망할 때,SFX_ChickenDying01 (보류),
Harvest_CowVoice,309,소가 평상 또는 도주 상태에서 울 때,SFX_CowRunning (보류),
Harvest_CowHit,310,소가 커터에 피격됐을 때,SFX_CowAttacked01 (보류),
Harvest_CowDie,311,소의 HP가 0이 되어 사망할 때,SFX_CowDying (보류),
Harvest_SheepVoice,312,양이 평상 또는 도주 상태에서 울 때,SFX_SheepRunning01 (보류),
Harvest_SheepHit,313,양이 커터에 피격됐을 때,SFX_SheepAttacked02 (보류),
Harvest_SheepDie,314,양의 HP가 0이 되어 사망할 때,SFX_SheepDying02 (보류),
Harvest_PigVoice,315,돼지가 평상 또는 도주 상태에서 울 때,SFX_PigRunning (보류),
Harvest_PigHit,316,돼지가 커터에 피격됐을 때,SFX_PigAttacked (보류),
Harvest_PigDie,317,돼지의 HP가 0이 되어 사망할 때,SFX_PigDying (보류),
Harvest_ResultReveal,318,수확 종료 후 결과 패널과 획득량을 공개할 때,SFX_UI_Appear_1,
Harvest_CropHit,319,정적 작물이 커터 피해를 받았을 때,SFX_Movement_Footstep_Generic_1,피치 1.2
Harvest_GoldenPigDetected,320,황금돼지가 레이더 범위에 처음 들어왔을 때,SFX_UI_Notification_Popup_1,
Harvest_GoldenPigCollected,321,황금돼지를 쓰러뜨리고 희귀 보상을 획득했을 때,SFX_Cash_Register_Buy_Click_1,
Harvest_SkillActivate,322,수확 스킬이 사용 가능 검사를 통과하고 발동했을 때,Bing12,
Harvest_SkillReady,323,수확 스킬 쿨다운이 끝나 다시 사용 가능해졌을 때,SFX_Pop_Mouth_High_1,
Harvest_TimeWarning,324,수확 남은 시간이 경고 임계값에 처음 진입했을 때,SFX_SpinWheel_Slow_Loop_1,
